Cycle, TypeA, TypeB, TypeC, TypeD, TypeE, TypeF
1,500,500,500,500,500,500
2,1044,1000,1172,1184,1062,1127
3,1623,1500,1973,2075,1685,1910
4,2254,2000,2988,3206,2356,2848
5,2936,2500,4213,4580,3082,3994
6,3654,3000,5681,6394,3875,5388
7,4419,3500,7342,8436,4694,7094
8,5265,4000,9259,11084,5599,9072
9,6173,4500,11515,14172,6583,11720
10,6673,4500,13584,17520,7121,14230
11,7209,4559,16036,21223,7667,17442
12,7761,4645,18832,25872,8258,21218
13,7608,4499,17120,21628,8107,19335
14,8124,4596,19837,26306,8667,23487
15,7988,4498,18024,22267,8489,20797
16,8481,4614,20808,27019,9107,25519
17,7957,4554,18746,22940,8878,22477
18,8143,4699,21696,27778,9515,27357
19,7646,4674,19645,23849,9230,23927
20,7110,4606,17735,20905,8924,21121
21,7165,4846,20501,25296,9522,25942
22,6666,4889,18552,22231,9254,22764
23,6666,5247,21647,27177,9903,28305
24,6295,5425,19776,23894,9653,24871
25,4295,1589,11804,18467,7879,12780
26,4446,1935,13854,22852,8451,16107
27,4627,2369,16435,28762,9065,20907
28,4565,2830,15675,23108,8806,19632
29,4797,3613,18438,29070,9463,25756
30,4761,4573,17722,24729,9190,23545
31,4773,5731,16937,22068,8929,21824
32,5053,7717,20480,28107,9527,28351
33,5112,9782,19724,25702,9412,26457
34,5109,12269,19223,24103,9076,25079
35,5169,15099,19079,23290,8899,24416
36,5298,18451,19075,23090,8714,24112
37,5119,17177,15715,17992,7916,18629
38,5244,20088,16139,18638,7771,19422
39,5402,23036,16751,19582,7716,20658
40,5612,26155,17601,20694,7734,21829
41,5533,21525,15458,17755,7299,18499
42,5772,25130,16407,19099,7319,20016
43,5705,20726,14606,16555,6973,17149
44,5995,24773,15885,18294,7196,18867
45,6020,20768,14570,16177,6951,16666
46,6288,25200,15875,18071,7181,18742
47,6231,21312,14653,16303,6934,16654
48,6620,26613,16410,18351,7170,19078
49,6681,22678,15491,16923,7080,17432
50,6676,20509,14338,15657,6925,15964
51,7199,26205,16273,17975,7310,18283
52,7313,22751,15388,16717,7338,17357
53,7370,21050,14721,15823,7257,16127
54,8010,27655,16935,18545,7870,18881
55,8292,24426,16323,17806,7966,18258
56,8533,22959,15796,17053,8023,17387
57,8683,21951,15372,16454,8023,16723
58,8829,21444,15074,15767,8110,16151
59,9015,20943,14728,15355,8169,15758
60,9160,20705,14455,15058,8319,15376
61,9511,20409,14064,14808,8383,14976
62,9547,20308,14039,14749,8525,14835
63,9751,20270,14065,14634,8703,14775
64,9917,20655,14206,14710,8910,14849
65,10170,20828,14168,14901,9094,14934
66,10422,21060,14392,15048,9340,15074
67,10774,21442,14491,15259,9660,15067
68,11043,21948,15022,15442,10019,15567
69,11311,22540,15399,15932,10334,16003
70,11690,23263,15797,16392,10763,16357
71,12196,23962,16133,16922,11382,16680
72,11181,18771,14029,14421,10573,14357
73,11684,20645,14328,14880,10901,14865
74,12140,22116,14945,15482,11481,15439
75,12771,23521,15798,16376,12073,16357
76,11765,18840,14081,14148,11164,14298
77,12250,20996,14708,14737,11607,14825
78,12894,22714,15569,15783,12378,15505
79,11895,18469,13780,14000,11403,13781
80,12482,20920,14711,14888,11849,14700
81,13192,22806,15482,15697,12528,15779
82,12290,18611,13681,13893,11711,14021
83,13019,21242,14416,14880,12375,14780
84,13915,23251,15330,15713,13118,15920
85,12783,18935,13776,14034,12180,14291
86,13530,21717,15042,15077,13029,15080
87,12392,18212,13430,13554,12017,13672
88,13200,20685,14406,14482,12685,14533
89,14165,22962,15439,15471,13751,15456
90,13046,19112,14047,14007,12776,14097
91,14069,21938,15375,15124,13684,15323
92,13056,18564,13782,13870,12657,13817
93,14014,21458,14854,15111,13563,15024
94,12875,18306,13567,13793,12602,13693
95,13873,21203,14766,14963,13381,14814
96,12624,18370,13605,13635,12604,13616
97,13573,21246,14791,14575,13640,14522
98,12771,18216,13391,13468,12536,13301
99,13763,21026,14517,14436,13569,14518
100,12716,18078,13266,13305,12587,13237
