Cycle, TypeA, TypeB, TypeC, TypeD, TypeE, TypeF
1,10,10,10,10,10,10
2,11,11,10,13,12,11
3,12,12,11,14,12,12
4,13,13,13,15,14,12
5,14,14,16,16,14,13
6,18,15,16,18,14,13
7,19,15,17,21,15,14
8,22,18,23,21,15,15
9,23,19,24,20,15,16
10,23,18,30,21,16,19
11,23,17,32,23,15,22
12,23,19,34,24,15,27
13,25,20,36,26,17,30
14,28,20,37,28,20,31
15,29,21,33,33,21,33
16,22,12,27,24,15,24
17,20,15,29,26,15,30
18,20,15,33,28,16,30
19,20,14,36,32,14,33
20,24,13,39,35,15,34
21,27,13,43,36,16,37
22,27,13,42,41,17,41
23,29,12,46,44,16,44
24,34,10,49,47,15,43
25,40,10,54,52,15,47
26,44,9,61,52,15,47
27,52,9,65,55,17,50
28,53,9,69,60,16,50
29,58,10,78,67,15,53
30,64,12,81,75,14,53
31,73,12,83,84,14,54
32,78,14,87,91,12,57
33,80,15,94,97,11,60
34,84,14,106,118,11,65
35,97,13,119,129,12,68
36,114,13,129,135,12,70
37,125,14,155,150,10,78
38,137,13,177,164,11,79
39,151,12,212,196,11,90
40,182,12,244,234,12,102
41,223,13,290,280,11,109
42,254,14,336,332,11,119
43,315,15,403,399,11,124
44,377,16,524,475,12,130
45,458,16,651,577,12,142
46,573,18,817,712,12,150
47,693,19,971,833,10,158
48,820,21,1222,1020,11,177
49,978,21,1571,1243,12,203
50,1203,22,1976,1508,14,221
51,1486,25,2535,1863,16,251
52,1832,31,3337,2341,17,274
53,2278,31,4366,2974,17,300
54,2845,37,5787,3739,20,333
55,3512,44,7682,4766,21,384
56,4402,53,10280,6126,21,427
57,5579,59,13852,7891,22,502
58,7216,65,18775,10306,22,585
59,9318,71,25686,13472,20,672
60,6614,50,23460,12048,17,454
61,8525,58,32299,16096,16,538
62,11071,66,45328,21671,18,645
63,14430,72,63580,29277,18,800
64,18858,84,89211,39291,20,937
65,24682,88,126339,53480,21,1118
66,32623,97,178654,73253,22,1368
67,43636,109,256040,100258,27,1697
68,58913,137,366413,138266,28,2142
69,79561,157,529115,192208,31,2706
70,108313,180,765035,268682,35,3442
